index,time,latitude,longitude,depth,mag,place
373,2022-03-25T17:58:26.461Z,12.8771,92.9804,26.21,4.2,"133 km NNE of Bamboo Flat, India"
377,2022-03-21T06:36:03.776Z,24.1944,94.4865,82.38,4.5,"61 km SE of W?ngjing, India"
381,2022-03-18T05:40:18.475Z,24.8691,93.6502,40.97,4.4,"30 km WNW of Imph?l, India"
383,2022-03-17T17:35:00.416Z,35.9368,77.9458,10.0,4.1,"153 km NE of Thang, India"
384,2022-03-17T13:41:18.468Z,35.9998,77.9099,10.0,5.1,"156 km NE of Thang, India"
387,2022-03-16T06:10:12.001Z,35.9335,77.9888,10.0,4.3,"155 km NE of Thang, India"
388,2022-03-16T03:41:25.723Z,35.9093,77.9477,10.0,4.1,"151 km NE of Thang, India"
391,2022-03-14T06:46:59.632Z,35.9455,76.8204,10.0,4.2,"112 km N of Thang, India"
394,2022-03-10T19:28:51.759Z,35.8865,77.8078,10.0,4.5,"140 km NE of Thang, India"
397,2022-03-03T08:47:06.403Z,29.9082,95.0011,10.0,4.4,"164 km NNE of Shi Yomi, India"
398,2022-03-03T08:19:05.856Z,29.9171,94.9732,10.0,4.1,"164 km NNE of Shi Yomi, India"
403,2022-02-25T07:29:03.263Z,32.3654,76.3939,10.0,3.6,"17 km NNE of Dharamsala, India"
404,2022-02-23T04:28:24.354Z,31.4596,77.8709,10.0,4.2,"9 km SE of Sar?han, India"
409,2022-02-20T11:43:42.215Z,10.8986,94.8857,10.0,4.3,"248 km ESE of Port Blair, India"
414,2022-02-11T19:16:50.015Z,26.0883,96.4951,10.0,4.8,"34 km WSW of Sarupathar, India"
415,2022-02-08T07:49:43.255Z,10.7745,92.8626,33.09,4.5,"99 km S of Port Blair, India"
418,2022-02-06T05:57:32.293Z,31.5122,78.0555,10.0,4.2,"24 km E of Sar?han, India"
421,2022-01-29T23:46:31.813Z,10.5863,94.3334,10.0,4.4,"210 km SE of Port Blair, India"
425,2022-01-24T19:38:59.306Z,29.9803,80.3548,10.0,4.0,"21 km NW of Dh?rchula, India"
427,2022-01-23T15:50:16.399Z,10.7625,91.4855,10.0,4.6,"169 km SW of Bamboo Flat, India"
428,2022-01-23T15:21:50.341Z,10.6973,91.5003,10.0,4.5,"173 km SW of Bamboo Flat, India"
430,2022-01-22T08:46:23.113Z,17.562,84.9267,10.0,4.2,"132 km SE of Narasannapeta, India"
431,2022-01-21T21:23:38.467Z,33.2225,75.9072,10.0,4.1,"16 km SE of Kishtw?r, India"
434,2022-01-18T02:22:15.803Z,24.0361,93.5196,60.79,4.5,"36 km SSW of Chur?ch?ndpur, India"
436,2022-01-17T22:59:23.843Z,29.2819,94.1513,10.0,5.1,"86 km NNW of Shi Yomi, India"
437,2022-01-16T21:09:22.262Z,25.2468,93.8695,10.0,4.6,"49 km N of Imph?l, India"
440,2022-01-13T19:03:30.121Z,25.0326,95.0765,94.89,4.1,"91 km SE of Phek, India"
